"name","time_value","value"
"Bloomington",2020-04-15,1.27
"Bloomington",2020-04-16,1.25
"Bloomington",2020-04-17,1.3
"Bloomington",2020-04-18,1.57
"Bloomington",2020-04-19,1.35
"Bloomington",2020-04-20,1.71
"Bloomington",2020-04-21,1.71
"Bloomington",2020-04-22,1.67
"Bloomington",2020-04-23,0.98
"Bloomington",2020-04-24,1.03
"Bloomington",2020-04-25,0.7
"Bloomington",2020-04-26,0.72
"Bloomington",2020-04-27,0.7
"Bloomington",2020-04-28,0.73
"Bloomington",2020-04-29,0.84
"Bloomington",2020-04-30,0.93
"Bloomington",2020-05-01,0.99
"Bloomington",2020-05-02,1
"Bloomington",2020-05-03,1.01
"Bloomington",2020-05-04,1.17
"Bloomington",2020-05-05,1.17
"Bloomington",2020-05-06,1.11
"Bloomington",2020-05-07,1.07
"Bloomington",2020-05-08,1.05
"Bloomington",2020-05-09,1.06
"Bloomington",2020-05-10,1.04
"Bloomington",2020-05-11,0.82
"Bloomington",2020-05-12,0.82
"Bloomington",2020-05-13,0.76
"Bloomington",2020-05-14,0.73
"Bloomington",2020-05-15,0.61
"Bloomington",2020-05-16,0.6
"Bloomington",2020-05-17,0.69
"Bloomington",2020-05-18,0.65
"Bloomington",2020-05-19,0.7
"Bloomington",2020-05-20,0.89
"Bloomington",2020-05-21,0.92
"Bloomington",2020-05-22,0.82
"Bloomington",2020-05-23,0.87
"Bloomington",2020-05-24,0.76
"Bloomington",2020-05-25,0.77
"Bloomington",2020-05-26,0.77
"Bloomington",2020-05-27,0.74
"Bloomington",2020-05-28,0.8
"Bloomington",2020-05-29,0.76
"Bloomington",2020-05-30,0.77
"Bloomington",2020-05-31,0.65
"Bloomington",2020-06-01,0.53
"Bloomington",2020-06-02,0.51
"Bloomington",2020-06-03,0.66
"Bloomington",2020-06-04,0.59
"Bloomington",2020-06-05,0.59
"Bloomington",2020-06-06,0.46
"Bloomington",2020-06-07,0.52
"Bloomington",2020-06-08,0.53
"Bloomington",2020-06-09,0.83
"Bloomington",2020-06-10,0.76
"Bloomington",2020-06-11,0.88
"Bloomington",2020-06-12,0.89
"Bloomington",2020-06-13,0.82
"Bloomington",2020-06-14,0.81
"Bloomington",2020-06-15,0.8
"Bloomington",2020-06-16,0.63
"Bloomington",2020-06-17,0.55
"Bloomington",2020-06-18,0.4
"Bloomington",2020-06-19,0.5
"Bloomington",2020-06-20,0.62
"Bloomington",2020-06-21,0.61
"Bloomington",2020-06-22,0.55
"Bloomington",2020-06-23,0.43
"Bloomington",2020-06-24,0.48
"Bloomington",2020-06-25,0.46
"Bloomington",2020-06-26,0.51
"Bloomington",2020-06-27,0.39
"Bloomington",2020-06-28,0.36
"Bloomington",2020-06-29,0.37
"Bloomington",2020-06-30,0.37
"Cincinnati",2020-04-15,0.92
"Cincinnati",2020-04-16,0.98
"Cincinnati",2020-04-17,0.93
"Cincinnati",2020-04-18,0.94
"Cincinnati",2020-04-19,0.83
"Cincinnati",2020-04-20,0.84
"Cincinnati",2020-04-21,0.82
"Cincinnati",2020-04-22,0.73
"Cincinnati",2020-04-23,0.7
"Cincinnati",2020-04-24,0.67
"Cincinnati",2020-04-25,0.63
"Cincinnati",2020-04-26,0.65
"Cincinnati",2020-04-27,0.59
"Cincinnati",2020-04-28,0.59
"Cincinnati",2020-04-29,0.58
"Cincinnati",2020-04-30,0.59
"Cincinnati",2020-05-01,0.6
"Cincinnati",2020-05-02,0.61
"Cincinnati",2020-05-03,0.61
"Cincinnati",2020-05-04,0.59
"Cincinnati",2020-05-05,0.61
"Cincinnati",2020-05-06,0.66
"Cincinnati",2020-05-07,0.69
"Cincinnati",2020-05-08,0.71
"Cincinnati",2020-05-09,0.68
"Cincinnati",2020-05-10,0.64
"Cincinnati",2020-05-11,0.68
"Cincinnati",2020-05-12,0.78
"Cincinnati",2020-05-13,0.8
"Cincinnati",2020-05-14,0.81
"Cincinnati",2020-05-15,0.75
"Cincinnati",2020-05-16,0.81
"Cincinnati",2020-05-17,0.77
"Cincinnati",2020-05-18,0.83
"Cincinnati",2020-05-19,0.92
"Cincinnati",2020-05-20,0.83
"Cincinnati",2020-05-21,0.82
"Cincinnati",2020-05-22,0.94
"Cincinnati",2020-05-23,0.83
"Cincinnati",2020-05-24,0.94
"Cincinnati",2020-05-25,1.03
"Cincinnati",2020-05-26,0.89
"Cincinnati",2020-05-27,0.91
"Cincinnati",2020-05-28,0.79
"Cincinnati",2020-05-29,0.87
"Cincinnati",2020-05-30,0.75
"Cincinnati",2020-05-31,0.63
"Cincinnati",2020-06-01,0.52
"Cincinnati",2020-06-02,0.47
"Cincinnati",2020-06-03,0.53
"Cincinnati",2020-06-04,0.64
"Cincinnati",2020-06-05,0.54
"Cincinnati",2020-06-06,0.6
"Cincinnati",2020-06-07,0.58
"Cincinnati",2020-06-08,0.56
"Cincinnati",2020-06-09,0.58
"Cincinnati",2020-06-10,0.61
"Cincinnati",2020-06-11,0.54
"Cincinnati",2020-06-12,0.54
"Cincinnati",2020-06-13,0.49
"Cincinnati",2020-06-14,0.56
"Cincinnati",2020-06-15,0.69
"Cincinnati",2020-06-16,0.62
"Cincinnati",2020-06-17,0.68
"Cincinnati",2020-06-18,0.65
"Cincinnati",2020-06-19,0.6
"Cincinnati",2020-06-20,0.74
"Cincinnati",2020-06-21,0.77
"Cincinnati",2020-06-22,0.82
"Cincinnati",2020-06-23,0.91
"Cincinnati",2020-06-24,1.08
"Cincinnati",2020-06-25,1.15
"Cincinnati",2020-06-26,1.3
"Cincinnati",2020-06-27,1.34
"Cincinnati",2020-06-28,1.39
"Cincinnati",2020-06-29,1.38
"Cincinnati",2020-06-30,1.38
"Columbus",2020-04-15,1.28
"Columbus",2020-04-16,0.92
"Columbus",2020-04-17,0.86
"Columbus",2020-04-18,0.85
"Columbus",2020-04-19,0.78
"Columbus",2020-04-20,0.74
"Columbus",2020-04-21,0.75
"Columbus",2020-04-22,0.74
"Columbus",2020-04-23,0.77
"Columbus",2020-04-24,0.95
"Columbus",2020-04-25,0.97
"Columbus",2020-04-26,1.07
"Columbus",2020-04-27,1.08
"Columbus",2020-04-28,1.12
"Columbus",2020-04-29,1.19
"Columbus",2020-04-30,1.06
"Columbus",2020-05-01,1
"Columbus",2020-05-02,0.92
"Columbus",2020-05-03,0.82
"Columbus",2020-05-04,0.73
"Columbus",2020-05-05,0.71
"Columbus",2020-05-06,0.67
"Columbus",2020-05-07,0.72
"Columbus",2020-05-08,0.76
"Columbus",2020-05-09,0.73
"Columbus",2020-05-10,0.74
"Columbus",2020-05-11,0.83
"Columbus",2020-05-12,0.88
"Columbus",2020-05-13,0.85
"Columbus",2020-05-14,0.82
"Columbus",2020-05-15,0.8
"Columbus",2020-05-16,0.82
"Columbus",2020-05-17,0.9
"Columbus",2020-05-18,0.89
"Columbus",2020-05-19,0.89
"Columbus",2020-05-20,0.99
"Columbus",2020-05-21,0.99
"Columbus",2020-05-22,0.92
"Columbus",2020-05-23,1.08
"Columbus",2020-05-24,0.99
"Columbus",2020-05-25,0.97
"Columbus",2020-05-26,0.89
"Columbus",2020-05-27,0.87
"Columbus",2020-05-28,0.94
"Columbus",2020-05-29,0.88
"Columbus",2020-05-30,0.98
"Columbus",2020-05-31,1.2
"Columbus",2020-06-01,1.17
"Columbus",2020-06-02,1.28
"Columbus",2020-06-03,1.44
"Columbus",2020-06-04,1.39
"Columbus",2020-06-05,1.47
"Columbus",2020-06-06,1.23
"Columbus",2020-06-07,0.92
"Columbus",2020-06-08,0.88
"Columbus",2020-06-09,0.78
"Columbus",2020-06-10,0.87
"Columbus",2020-06-11,0.86
"Columbus",2020-06-12,0.58
"Columbus",2020-06-13,0.55
"Columbus",2020-06-14,0.54
"Columbus",2020-06-15,0.56
"Columbus",2020-06-16,0.55
"Columbus",2020-06-17,0.52
"Columbus",2020-06-18,0.48
"Columbus",2020-06-19,0.62
"Columbus",2020-06-20,0.4
